[2026-05-28T15:54:36.375Z] GET https://syn-grp.com/wp-content/uploads/2023/05/8824-7D-1590x900.jpg → 200 (108ms, 170725B)
[2026-05-28T15:54:36.375Z] GET https://syn-grp.com/wp-content/uploads/2020/02/ForzaMeats-1590x900.jpg → 200 (108ms, 211448B)
[2026-05-28T15:54:36.375Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/fonts/ec598369-4d91-4a16-9db3-6654f68d3c28.woff2 → 200 (92ms, 18360B)
[2026-05-28T15:54:36.375Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/fonts/41c8162d-c2a6-49b0-8139-8bebab187588.woff2 → 200 (99ms, 19084B)
[2026-05-28T15:54:36.375Z] GET https://use.typekit.net/af/970764/0000000000000000000157a6/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3 → 200 (114ms, 30208B)
[2026-05-28T15:54:36.380Z] GET https://syn-grp.com/wp-content/uploads/2024/10/station250websitevideo.mp4 → 206 (56ms, ?B)
[2026-05-28T15:54:36.449Z] GET https://syn-grp.com/wp-content/uploads/2024/10/station250websitevideo.mp4 → pending (?ms, ?B)
[2026-05-28T15:54:36.531Z] GET https://ssl.google-analytics.com/r/__utm.gif?utmwv=5.7.2&utms=1&utmn=1598803750&utmhn=syn-grp.com&utmcs=UTF-8&utmsr=1280x720&utmvp=1280x720&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=SYNERGY%20Construction%20and%20Development%20Company&utmhid=923479407&utmr=-&utmp=%2F&utmht=1779983676530&utmac=UA-17001050-1&utmcc=__utma%3D255267722.1844870573.1779983677.1779983677.1779983677.1%3B%2B__utmz%3D255267722.1779983677.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=1385518069&utmredir=1&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~ → 200 (27ms, 35B)
[2026-05-28T15:54:36.568Z] GET https://syn-grp.com/wp-content/uploads/2024/10/station250websitevideo.mp4 → 206 (8ms, ?B)
[2026-05-28T15:54:36.722Z] GET https://syn-grp.com/wp-content/uploads/2024/10/station250websitevideo.mp4 → 206 (143ms, 8404B)
[2026-05-28T15:54:36.870Z] GET https://syn-grp.com/wp-content/uploads/2024/10/station250websitevideo.mp4 → 206 (1ms, ?B)
[2026-05-28T15:54:42.041Z] GET https://syn-grp.com/about → 301 (44ms, ?B)
[2026-05-28T15:54:42.086Z] GET https://syn-grp.com/ → 200 (51ms, ?B)
[2026-05-28T15:54:42.147Z] GET https://use.typekit.net/pos0fgc.css → 200 (?ms, 1250B)
[2026-05-28T15:54:42.148Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/hw-parallax.min.css → 200 (?ms, 762B)
[2026-05-28T15:54:42.148Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/splide.min.css → 200 (?ms, 5002B)
[2026-05-28T15:54:42.148Z] GET https://code.jquery.com/jquery-latest.js → 200 (?ms, 282766B)
[2026-05-28T15:54:42.148Z] GET https://syn-grp.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9.2 → 200 (?ms, 1606B)
[2026-05-28T15:54:42.148Z] GET https://syn-grp.com/wp-content/plugins/custom-facebook-feed-pro/css/cff-style.css?ver=3.12.1 → 200 (1ms, 90684B)
[2026-05-28T15:54:42.149Z] GET https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=4.9.26 → 200 (?ms, 31000B)
[2026-05-28T15:54:42.149Z] GET https://syn-grp.com/wp-content/plugins/document-gallery/assets/css/style.min.css?ver=4.4.3 → 200 (1ms, 1079B)
[2026-05-28T15:54:42.150Z] GET https://syn-grp.com/wp-content/plugins/jquery-collapse-o-matic/light_style.css?ver=1.6 → 200 (?ms, 1096B)
[2026-05-28T15:54:42.150Z] GET https://syn-grp.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/leaflet/leaflet.css?ver=1.4.0 → 200 (?ms, 14106B)
[2026-05-28T15:54:42.150Z] GET https://syn-grp.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.53.4 → 200 (?ms, 17245B)
[2026-05-28T15:54:42.150Z] GET https://syn-grp.com/wp-includes/js/jquery/jquery.js?ver=1.12.4 → 200 (1ms, 96874B)
[2026-05-28T15:54:42.151Z] GET https://syn-grp.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 → 200 (?ms, 10056B)
[2026-05-28T15:54:42.160Z] GET https://p.typekit.net/p.css?s=1&k=pos0fgc&ht=tk&f=24536&a=7511068&app=typekit&e=css → 200 (?ms, 5B)
[2026-05-28T15:54:42.161Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/style.css → 200 (?ms, 45878B)
[2026-05-28T15:54:42.161Z] GET https://use.typekit.net/af/970764/0000000000000000000157a6/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3 → 200 (?ms, ?B)
[2026-05-28T15:54:42.161Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/fonts/41c8162d-c2a6-49b0-8139-8bebab187588.woff2 → 200 (?ms, ?B)
[2026-05-28T15:54:42.161Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/fonts/ec598369-4d91-4a16-9db3-6654f68d3c28.woff2 → 200 (?ms, ?B)
[2026-05-28T15:54:42.161Z] GET https://syn-grp.com/wp-includes/js/wp-emoji-release.min.js?ver=4.9.26 → 200 (?ms, 11943B)
[2026-05-28T15:54:42.162Z] GET https://ssl.google-analytics.com/ga.js → 200 (?ms, 46274B)
[2026-05-28T15:54:42.177Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/fb.svg → 200 (1ms, 705B)
[2026-05-28T15:54:42.178Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/li.svg → 200 (?ms, 744B)
[2026-05-28T15:54:42.178Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/synergychicagocontracting.svg → 200 (?ms, 13491B)
[2026-05-28T15:54:42.178Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/menu.svg → 200 (?ms, 567B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/uploads/2024/10/Station-250-POI-018.jpg → 200 (?ms, 394520B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/uploads/2020/10/RavenswoodSeniorHousing1-1.jpg → 200 (?ms, 189870B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/uploads/2023/06/download-copy.jpg → 200 (?ms, 228545B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/uploads/2023/06/Volley_Yorktown_View-1_Final-LoRes.jpg → 200 (?ms, 249436B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/uploads/2023/06/MF-02_ENTRY.jpg → 200 (?ms, 200708B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/uploads/2023/06/Station2502.jpg → 200 (?ms, 243616B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/uploads/2023/06/Station2501.jpg → 200 (?ms, 178708B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.9.2 → 200 (?ms, 14092B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/plugins/custom-facebook-feed-pro/js/cff-scripts.js?ver=3.12.1 → 200 (?ms, 189928B)
[2026-05-28T15:54:42.179Z] GET https://syn-grp.com/wp-content/uploads/2024/10/MainRendering.jpg → 200 (?ms, 806913B)
[2026-05-28T15:54:42.180Z] GET https://syn-grp.com/wp-content/uploads/2024/10/winfieldstation.jpg → 200 (?ms, 405831B)
[2026-05-28T15:54:42.182Z] GET https://syn-grp.com/wp-content/uploads/2020/05/Panton-Mill-Photo-to-add-to-website-1590x900.jpg → 200 (?ms, 328757B)
[2026-05-28T15:54:42.182Z] GET https://syn-grp.com/wp-content/uploads/2014/10/Assemble-main-room-no-people-1.jpg → 200 (?ms, ?B)
[2026-05-28T15:54:42.182Z] GET https://syn-grp.com/wp-content/uploads/2020/02/SteakBar-1590x900.jpg → 200 (?ms, ?B)
[2026-05-28T15:54:42.182Z] GET https://syn-grp.com/wp-content/uploads/2020/02/OReilly-Auto-parts-12-1590x900.jpg → 200 (?ms, ?B)
[2026-05-28T15:54:42.182Z] GET https://syn-grp.com/wp-content/uploads/2020/02/47-W-Polk-ext-1-1590x900.jpg → 200 (?ms, ?B)
[2026-05-28T15:54:42.183Z] GET https://syn-grp.com/wp-content/uploads/2023/05/8824-7D-1590x900.jpg → 200 (?ms, ?B)
[2026-05-28T15:54:42.183Z] GET https://syn-grp.com/wp-content/uploads/2020/02/ForzaMeats-1590x900.jpg → 200 (?ms, ?B)
[2026-05-28T15:54:42.183Z] GET https://syn-grp.com/wp-content/plugins/document-gallery/assets/js/gallery.min.js?ver=4.4.3 → 200 (?ms, ?B)
[2026-05-28T15:54:42.183Z] GET https://syn-grp.com/wp-includes/js/wp-embed.min.js?ver=4.9.26 → 200 (?ms, ?B)
[2026-05-28T15:54:42.183Z] GET https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js → 200 (?ms, ?B)
[2026-05-28T15:54:42.183Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/parallax.min.js → 200 (?ms, ?B)
[2026-05-28T15:54:42.183Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/splide.js → 200 (?ms, ?B)
[2026-05-28T15:54:42.188Z] GET https://ssl.google-analytics.com/__utm.gif?utmwv=5.7.2&utms=2&utmn=1087999153&utmhn=syn-grp.com&utmcs=UTF-8&utmsr=1280x720&utmvp=1280x720&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=SYNERGY%20Construction%20and%20Development%20Company&utmhid=1869288275&utmr=-&utmp=%2F&utmht=1779983682184&utmac=UA-17001050-1&utmcc=__utma%3D255267722.1844870573.1779983677.1779983677.1779983677.1%3B%2B__utmz%3D255267722.1779983677.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~ → pending (?ms, ?B)
[2026-05-28T15:54:42.234Z] GET https://syn-grp.com/wp-content/uploads/2024/10/station250websitevideo.mp4 → 206 (?ms, ?B)
[2026-05-28T15:54:48.673Z] GET https://syn-grp.com/about/ → 301 (53ms, ?B)
[2026-05-28T15:54:48.726Z] GET https://syn-grp.com/ → 200 (44ms, 25335B)
[2026-05-28T15:54:48.777Z] GET https://use.typekit.net/pos0fgc.css → 200 (2ms, 1250B)
[2026-05-28T15:54:48.779Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/hw-parallax.min.css → 200 (?ms, 762B)
[2026-05-28T15:54:48.779Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/splide.min.css → 200 (?ms, 5002B)
[2026-05-28T15:54:48.780Z] GET https://code.jquery.com/jquery-latest.js → 200 (?ms, 282766B)
[2026-05-28T15:54:48.780Z] GET https://syn-grp.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9.2 → 200 (?ms, 1606B)
[2026-05-28T15:54:48.780Z] GET https://syn-grp.com/wp-content/plugins/custom-facebook-feed-pro/css/cff-style.css?ver=3.12.1 → 200 (?ms, 90684B)
[2026-05-28T15:54:48.780Z] GET https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=4.9.26 → 200 (?ms, 31000B)
[2026-05-28T15:54:48.780Z] GET https://syn-grp.com/wp-content/plugins/document-gallery/assets/css/style.min.css?ver=4.4.3 → 200 (?ms, 1079B)
[2026-05-28T15:54:48.780Z] GET https://syn-grp.com/wp-content/plugins/jquery-collapse-o-matic/light_style.css?ver=1.6 → 200 (?ms, 1096B)
[2026-05-28T15:54:48.780Z] GET https://syn-grp.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/leaflet/leaflet.css?ver=1.4.0 → 200 (?ms, 14106B)
[2026-05-28T15:54:48.781Z] GET https://syn-grp.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.53.4 → 200 (?ms, 17245B)
[2026-05-28T15:54:48.781Z] GET https://syn-grp.com/wp-includes/js/jquery/jquery.js?ver=1.12.4 → 200 (?ms, 96874B)
[2026-05-28T15:54:48.781Z] GET https://syn-grp.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 → 200 (?ms, 10056B)
[2026-05-28T15:54:48.788Z] GET https://p.typekit.net/p.css?s=1&k=pos0fgc&ht=tk&f=24536&a=7511068&app=typekit&e=css → 200 (?ms, 5B)
[2026-05-28T15:54:48.788Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/style.css → 200 (?ms, 45878B)
[2026-05-28T15:54:48.788Z] GET https://use.typekit.net/af/970764/0000000000000000000157a6/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n5&v=3 → 200 (?ms, ?B)
[2026-05-28T15:54:48.788Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/fonts/41c8162d-c2a6-49b0-8139-8bebab187588.woff2 → 200 (?ms, ?B)
[2026-05-28T15:54:48.788Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/fonts/ec598369-4d91-4a16-9db3-6654f68d3c28.woff2 → 200 (?ms, ?B)
[2026-05-28T15:54:48.788Z] GET https://syn-grp.com/wp-includes/js/wp-emoji-release.min.js?ver=4.9.26 → 200 (1ms, 11943B)
[2026-05-28T15:54:48.789Z] GET https://ssl.google-analytics.com/ga.js → 200 (?ms, 46274B)
[2026-05-28T15:54:48.802Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/fb.svg → 200 (?ms, 705B)
[2026-05-28T15:54:48.802Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/li.svg → 200 (2ms, 744B)
[2026-05-28T15:54:48.804Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/synergychicagocontracting.svg → 200 (?ms, 13491B)
[2026-05-28T15:54:48.804Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/menu.svg → 200 (?ms, 567B)
[2026-05-28T15:54:48.804Z] GET https://syn-grp.com/wp-content/uploads/2024/10/Station-250-POI-018.jpg → 200 (1ms, 394520B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/uploads/2020/10/RavenswoodSeniorHousing1-1.jpg → 200 (?ms, 189870B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/uploads/2023/06/download-copy.jpg → 200 (?ms, 228545B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/uploads/2023/06/Volley_Yorktown_View-1_Final-LoRes.jpg → 200 (?ms, 249436B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/uploads/2023/06/MF-02_ENTRY.jpg → 200 (?ms, 200708B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/uploads/2023/06/Station2502.jpg → 200 (?ms, 243616B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/uploads/2023/06/Station2501.jpg → 200 (?ms, 178708B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.9.2 → 200 (?ms, 14092B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/plugins/custom-facebook-feed-pro/js/cff-scripts.js?ver=3.12.1 → 200 (?ms, 189928B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/uploads/2024/10/MainRendering.jpg → 200 (?ms, 806913B)
[2026-05-28T15:54:48.805Z] GET https://syn-grp.com/wp-content/uploads/2024/10/winfieldstation.jpg → 200 (?ms, 405831B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/uploads/2020/05/Panton-Mill-Photo-to-add-to-website-1590x900.jpg → 200 (?ms, 328757B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/uploads/2014/10/Assemble-main-room-no-people-1.jpg → 200 (?ms, 1284525B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/uploads/2020/02/SteakBar-1590x900.jpg → 200 (?ms, 230789B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/uploads/2020/02/OReilly-Auto-parts-12-1590x900.jpg → 200 (?ms, 221714B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/uploads/2020/02/47-W-Polk-ext-1-1590x900.jpg → 200 (?ms, 243757B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/uploads/2023/05/8824-7D-1590x900.jpg → 200 (?ms, 170725B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/uploads/2020/02/ForzaMeats-1590x900.jpg → 200 (?ms, 211448B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/plugins/document-gallery/assets/js/gallery.min.js?ver=4.4.3 → 200 (?ms, 3055B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-includes/js/wp-embed.min.js?ver=4.9.26 → 200 (?ms, 1443B)
[2026-05-28T15:54:48.806Z] GET https://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js → 200 (?ms, 96381B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/parallax.min.js → 200 (?ms, 6864B)
[2026-05-28T15:54:48.806Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/splide.js → 200 (1ms, 85483B)
[2026-05-28T15:54:48.810Z] GET https://ssl.google-analytics.com/__utm.gif?utmwv=5.7.2&utms=3&utmn=647151104&utmhn=syn-grp.com&utmcs=UTF-8&utmsr=1280x720&utmvp=1280x720&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=SYNERGY%20Construction%20and%20Development%20Company&utmhid=2046068583&utmr=-&utmp=%2F&utmht=1779983688805&utmac=UA-17001050-1&utmcc=__utma%3D255267722.1844870573.1779983677.1779983677.1779983677.1%3B%2B__utmz%3D255267722.1779983677.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~ → 200 (21ms, 35B)
[2026-05-28T15:54:49.780Z] GET https://syn-grp.com/wp-content/uploads/2024/10/station250websitevideo.mp4 → 206 (1ms, ?B)
[2026-05-28T15:54:55.035Z] GET https://syn-grp.com/careers/ → 200 (51ms, 72418B)
[2026-05-28T15:54:55.096Z] GET https://use.typekit.net/pos0fgc.css → 200 (1ms, 1250B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/scripts/hw-parallax.min.css → 200 (?ms, 762B)
[2026-05-28T15:54:55.098Z] GET https://code.jquery.com/jquery-latest.js → 200 (?ms, 282766B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.9.2 → 200 (?ms, 1606B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-content/plugins/custom-facebook-feed-pro/css/cff-style.css?ver=3.12.1 → 200 (?ms, 90684B)
[2026-05-28T15:54:55.098Z] GET https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=4.9.26 → 200 (?ms, 31000B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-content/plugins/document-gallery/assets/css/style.min.css?ver=4.4.3 → 200 (?ms, 1079B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-content/plugins/jquery-collapse-o-matic/light_style.css?ver=1.6 → 200 (?ms, 1096B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/leaflet/leaflet.css?ver=1.4.0 → 200 (?ms, 14106B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-content/plugins/mappress-google-maps-for-wordpress/css/mappress.css?ver=2.53.4 → 200 (?ms, 17245B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-includes/js/jquery/jquery.js?ver=1.12.4 → 200 (?ms, 96874B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 → 200 (?ms, 10056B)
[2026-05-28T15:54:55.098Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/fb.svg → 200 (?ms, 705B)
[2026-05-28T15:54:55.099Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/li.svg → 200 (?ms, 744B)
[2026-05-28T15:54:55.099Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/synergychicagocontracting.svg → 200 (?ms, 13491B)
[2026-05-28T15:54:55.099Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/menu.svg → 200 (?ms, 567B)
[2026-05-28T15:54:55.099Z] GET https://syn-grp.com/wp-content/themes/SynergyTheme2020/images/careersimg.jpg → 200 (19ms, 126623B)
